"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year6";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year7";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year8";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year9";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year10";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2012-03-02";"BNS.TO";"53.650002000000";"0.011296562600";"Core";"2013-03-01";"BNS.TO";"61.130001000000";"0.011584679858";"Core";"2014-03-03";"BNS.TO";"63.029999000000";"0.013250312629";"Core";"2015-03-02";"BNS.TO";"66.930000000000";"0.118478831167";"Value";"2016-03-01";"BNS.TO";"57.930000000000";"0.118478831167";"Value";"2017-03-01";"BNS.TO";"78.750000000000";"0.118478831167";"Value";"2018-03-01";"BNS.TO";"79.320000000000";"0.020529730364";"Core";"2019-03-01";"BNS.TO";"72.669998000000";"0.024651392392";"Core";"2020-03-02";"BNS.TO";"70.570000000000";"0.023727508761";"Core";"2021-03-01";"BNS.TO";"75.550003000000";"0.027547379691";"Core";"2022-03-01";"BNS.TO";"90.889999000000";"0.025673256815";"Core"
"2012-03-02";"RY.TO";"56.400002000000";"0.010745755046";"Core";"2013-03-01";"RY.TO";"63.770000000000";"0.011105088463";"Core";"2014-03-03";"RY.TO";"71.900002000000";"0.011615676892";"Core";"2015-03-02";"RY.TO";"78.220001000000";"0.017424345746";"Core";"2016-03-01";"RY.TO";"70.139999000000";"0.019776466525";"Core";"2017-03-01";"RY.TO";"97.529999000000";"0.014067802704";"Core";"2018-03-01";"RY.TO";"100.570000000000";"0.016191888361";"Core";"2019-03-01";"RY.TO";"103.459999000000";"0.017315065273";"Core";"2020-03-02";"RY.TO";"102.290001000000";"0.016369638057";"Core";"2021-03-01";"RY.TO";"109.739998000000";"0.018964868382";"Core";"2022-03-01";"RY.TO";"137.399994000000";"0.016982841253";"Core"
"2012-03-02";"CAE.TO";"10.890000000000";"0.055652948215";"Core";"2013-03-01";"CAE.TO";"10.120000000000";"0.069977420088";"Core";"2014-03-03";"CAE.TO";"15.320000000000";"0.436118637981";"Growth";"2015-03-02";"CAE.TO";"15.020000000000";"0.090741167890";"Core";"2016-03-01";"CAE.TO";"14.980000000000";"0.092598220444";"Core";"2017-03-01";"CAE.TO";"20.530001000000";"0.066830624298";"Core";"2018-03-01";"CAE.TO";"23.200001000000";"0.561523497337";"Growth";"2019-03-01";"CAE.TO";"27.990000000000";"0.512016187447";"Growth";"2020-03-02";"CAE.TO";"37.009998000000";"0.045243187888";"Core";"2021-03-01";"CAE.TO";"37.980000000000";"0.054797383316";"Core";"2022-03-01";"CAE.TO";"34.599998000000";"0.539524259228";"Growth"
"2012-03-02";"T.TO";"14.325000000000";"0.253847374266";"Growth";"2013-03-01";"T.TO";"17.717501000000";"0.219835923933";"Growth";"2014-03-03";"T.TO";"19.565001000000";"0.042686795249";"Core";"2015-03-02";"T.TO";"21.985001000000";"0.061993735716";"Core";"2016-03-01";"T.TO";"19.830000000000";"0.069950647618";"Core";"2017-03-01";"T.TO";"21.605000000000";"0.063505335972";"Core";"2018-03-01";"T.TO";"23.129999000000";"0.070402865667";"Core";"2019-03-01";"T.TO";"23.535000000000";"0.076117129205";"Core";"2020-03-02";"T.TO";"25.020000000000";"0.066924472153";"Core";"2021-03-01";"T.TO";"25.980000000000";"0.080107952977";"Core";"2022-03-01";"T.TO";"32.020000000000";"0.072874524868";"Core"
"2012-03-02";"CNR.TO";"38.439999000000";"0.015766405355";"Core";"2013-03-01";"CNR.TO";"51.935001000000";"0.074996498067";"Growth";"2014-03-03";"CNR.TO";"62.330002000000";"0.013399120246";"Core";"2015-03-02";"CNR.TO";"87.099998000000";"0.015647903249";"Core";"2016-03-01";"CNR.TO";"79.190002000000";"0.017516369582";"Core";"2017-03-01";"CNR.TO";"94.800003000000";"0.014472919201";"Core";"2018-03-01";"CNR.TO";"97.489998000000";"0.016703438772";"Core";"2019-03-01";"CNR.TO";"113.480003000000";"0.015786187773";"Core";"2020-03-02";"CNR.TO";"114.980003000000";"0.014562969643";"Core";"2021-03-01";"CNR.TO";"141.600006000000";"0.014697772106";"Core";"2022-03-01";"CNR.TO";"151.789993000000";"0.015372833480";"Core"
"2012-03-02";"BCE.TO";"40.669998000000";"0.014901908922";"Core";"2013-03-01";"BCE.TO";"46.570000000000";"0.015206602776";"Core";"2014-03-03";"BCE.TO";"48.150002000000";"0.017345112296";"Core";"2015-03-02";"BCE.TO";"54.750000000000";"0.024893741401";"Core";"2016-03-01";"BCE.TO";"58.560001000000";"0.023687180987";"Core";"2017-03-01";"BCE.TO";"57.820000000000";"0.023729380555";"Core";"2018-03-01";"BCE.TO";"55.790001000000";"0.029188352452";"Core";"2019-03-01";"BCE.TO";"57.910000000000";"0.030934495525";"Core";"2020-03-02";"BCE.TO";"61.950001000000";"0.027029059988";"Core";"2021-03-01";"BCE.TO";"54.990002000000";"0.037846963860";"Core";"2022-03-01";"BCE.TO";"67.050003000000";"0.034801523965";"Core"
"2012-03-02";"SAP.TO";"20.290001000000";"0.029869915041";"Core";"2013-03-01";"SAP.TO";"25.315001000000";"0.027974381328";"Core";"2014-03-03";"SAP.TO";"27.325001000000";"0.030564214498";"Core";"2015-03-02";"SAP.TO";"36.240002000000";"0.037608506250";"Core";"2016-03-01";"SAP.TO";"39.400002000000";"0.035206123651";"Core";"2017-03-01";"SAP.TO";"46.060001000000";"0.029787945156";"Core";"2018-03-01";"SAP.TO";"39.939999000000";"0.040771613752";"Core";"2019-03-01";"SAP.TO";"43.360001000000";"0.041314958361";"Core";"2020-03-02";"SAP.TO";"37.310001000000";"0.044879395561";"Core";"2021-03-01";"SAP.TO";"36.380001000000";"0.400451674763";"Value";"2022-03-01";"SAP.TO";"30.400000000000";"0.400451674763";"Value"
"2012-03-02";"FNV.TO";"44.090000000000";"0.013745987890";"Core";"2013-03-01";"FNV.TO";"48.230000000000";"0.014683215660";"Core";"2014-03-03";"FNV.TO";"57.029999000000";"0.014644348700";"Core";"2015-03-02";"FNV.TO";"65.650002000000";"0.020760583400";"Core";"2016-03-01";"FNV.TO";"77.099998000000";"0.095953056861";"Growth";"2017-03-01";"FNV.TO";"86.910004000000";"0.015786822236";"Core";"2018-03-01";"FNV.TO";"90.519997000000";"0.017989596403";"Core";"2019-03-01";"FNV.TO";"98.989998000000";"0.018096945874";"Core";"2020-03-02";"FNV.TO";"146.529999000000";"0.148555612919";"Growth";"2021-03-01";"FNV.TO";"134.460007000000";"0.015478242674";"Core";"2022-03-01";"FNV.TO";"191.160004000000";"0.012206749516";"Core"
"2012-03-02";"SNC.TO";"40.000000000000";"0.100000000000";"Value";"2013-03-01";"SNC.TO";"46.080002000000";"0.100000000000";"Value";"2014-03-03";"SNC.TO";"48.509998000000";"0.100000000000";"Value";"2015-03-02";"SNC.TO";"39.590000000000";"0.200297756251";"Value";"2016-03-01";"SNC.TO";"43.750000000000";"0.200297756251";"Value";"2017-03-01";"SNC.TO";"54.610001000000";"0.200297756251";"Value";"2018-03-01";"SNC.TO";"55.990002000000";"0.029084089200";"Core";"2019-03-01";"SNC.TO";"36.570000000000";"0.048985962150";"Core";"2020-03-02";"SNC.TO";"32.860001000000";"0.050957098062";"Core";"2021-03-01";"SNC.TO";"26.709999000000";"0.077918558452";"Core";"2022-03-01";"SNC.TO";"27.600000000000";"0.084545010372";"Core"
"2012-03-02";"FM.TO";"23.190001000000";"0.156807394547";"Growth";"2013-03-01";"FM.TO";"18.889999000000";"0.037489228628";"Core";"2014-03-03";"FM.TO";"20.959999000000";"0.039845764865";"Core";"2015-03-02";"FM.TO";"15.760000000000";"0.503159147841";"Value";"2016-03-01";"FM.TO";"5.190000000000";"0.503159147841";"Value";"2017-03-01";"FM.TO";"14.950000000000";"0.503159147841";"Value";"2018-03-01";"FM.TO";"20.280001000000";"0.642374016636";"Growth";"2019-03-01";"FM.TO";"15.190000000000";"0.943471565941";"Growth";"2020-03-02";"FM.TO";"10.050000000000";"0.166611969479";"Core";"2021-03-01";"FM.TO";"27.940001000000";"0.521418461235";"Growth";"2022-03-01";"FM.TO";"36.810001000000";"0.507132240780";"Growth"
