"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year6";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year7";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year8";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year9";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2013-12-02";"BNS.TO";"65.349998000000";"0.009563887056";"Core";"2014-12-01";"BNS.TO";"69.129997000000";"0.011185626566";"Core";"2015-12-01";"BNS.TO";"60.830002000000";"0.014790019784";"Core";"2016-12-01";"BNS.TO";"74.089996000000";"0.081492596483";"Core";"2017-12-01";"BNS.TO";"81.839996000000";"0.075335151295";"Core";"2018-12-03";"BNS.TO";"72.570000000000";"0.093032556206";"Core";"2019-12-02";"BNS.TO";"74.680000000000";"0.618043032514";"Value";"2020-12-01";"BNS.TO";"65.000000000000";"0.618043032514";"Value";"2021-12-01";"BNS.TO";"82.510002000000";"0.618043032514";"Value";"2022-12-01";"BNS.TO";"70.160004000000";"0.153921295673";"Core"
"2013-12-02";"RY.TO";"70.440002000000";"0.008872799294";"Core";"2014-12-01";"RY.TO";"82.779999000000";"0.009341173476";"Core";"2015-12-01";"RY.TO";"76.879997000000";"0.011702353904";"Core";"2016-12-01";"RY.TO";"87.300003000000";"0.069161350973";"Core";"2017-12-01";"RY.TO";"101.160004000000";"0.548525643851";"Growth";"2018-12-03";"RY.TO";"97.449997000000";"0.069280377749";"Core";"2019-12-02";"RY.TO";"108.059998000000";"0.071188004384";"Core";"2020-12-01";"RY.TO";"107.040001000000";"0.067732138449";"Core";"2021-12-01";"RY.TO";"125.739998000000";"0.061056877643";"Core";"2022-12-01";"RY.TO";"134.669998000000";"0.080189491947";"Core"
"2013-12-02";"CAE.TO";"11.980000000000";"0.052170283806";"Core";"2014-12-01";"CAE.TO";"15.020000000000";"0.051482179159";"Core";"2015-12-01";"CAE.TO";"15.420000000000";"0.058344807591";"Core";"2016-12-01";"CAE.TO";"19.600000000000";"1.642935006112";"Growth";"2017-12-01";"CAE.TO";"22.690001000000";"2.445520223913";"Growth";"2018-12-03";"CAE.TO";"26.799999000000";"2.267252078426";"Growth";"2019-12-02";"CAE.TO";"35.419998000000";"1.303090239252";"Growth";"2020-12-01";"CAE.TO";"31.639999000000";"0.229141858296";"Core";"2021-12-01";"CAE.TO";"30.200001000000";"0.254214947635";"Core";"2022-12-01";"CAE.TO";"29.090000000000";"2.092394639355";"Value"
"2013-12-02";"T.TO";"18.695000000000";"0.033431398770";"Core";"2014-12-01";"T.TO";"21.625000000000";"0.035757795652";"Core";"2015-12-01";"T.TO";"21.230000000000";"0.042377622847";"Core";"2016-12-01";"T.TO";"20.799999000000";"1.688891311256";"Value";"2017-12-01";"T.TO";"23.850000000000";"1.688891311256";"Value";"2018-12-03";"T.TO";"23.815001000000";"1.688891311256";"Value";"2019-12-02";"T.TO";"25.000000000000";"0.307703024454";"Core";"2020-12-01";"T.TO";"24.969999000000";"0.290350358739";"Core";"2021-12-01";"T.TO";"29.290001000000";"0.262113056014";"Core";"2022-12-01";"T.TO";"28.610001000000";"0.377459571571";"Core"
"2013-12-02";"CNR.TO";"61.480000000000";"0.054218173932";"Growth";"2014-12-01";"CNR.TO";"77.089996000000";"0.010030644326";"Core";"2015-12-01";"CNR.TO";"80.169998000000";"0.011222114949";"Core";"2016-12-01";"CNR.TO";"90.239998000000";"0.066908092656";"Core";"2017-12-01";"CNR.TO";"99.870003000000";"0.061734537854";"Core";"2018-12-03";"CNR.TO";"112.730003000000";"0.059889758043";"Core";"2019-12-02";"CNR.TO";"119.750000000000";"0.064238627235";"Core";"2020-12-01";"CNR.TO";"137.820007000000";"0.052605193725";"Core";"2021-12-01";"CNR.TO";"161.899994000000";"0.047419962676";"Core";"2022-12-01";"CNR.TO";"172.669998000000";"0.062541951962";"Core"
"2013-12-02";"BCE.TO";"46.770000000000";"0.013363267052";"Core";"2014-12-01";"BCE.TO";"53.209999000000";"0.014532274864";"Core";"2015-12-01";"BCE.TO";"57.689999000000";"0.015595024244";"Core";"2016-12-01";"BCE.TO";"57.049999000000";"0.105833238445";"Core";"2017-12-01";"BCE.TO";"61.439999000000";"0.100348772478";"Core";"2018-12-03";"BCE.TO";"56.759998000000";"0.118945962680";"Core";"2019-12-02";"BCE.TO";"63.580002000000";"0.120990490239";"Core";"2020-12-01";"BCE.TO";"56.090000000000";"0.129257410721";"Core";"2021-12-01";"BCE.TO";"64.430000000000";"0.119157095651";"Core";"2022-12-01";"BCE.TO";"63.860001000000";"0.169106147056";"Core"
"2013-12-02";"SAP.TO";"24.105000000000";"0.025928230658";"Core";"2014-12-01";"SAP.TO";"34.320000000000";"0.022530953699";"Core";"2015-12-01";"SAP.TO";"32.930000000000";"0.027320890770";"Core";"2016-12-01";"SAP.TO";"44.480000000000";"0.135741595042";"Core";"2017-12-01";"SAP.TO";"43.599998000000";"0.141408916594";"Core";"2018-12-03";"SAP.TO";"40.549999000000";"0.166495012832";"Core";"2019-12-02";"SAP.TO";"40.099998000000";"0.191834812843";"Core";"2020-12-01";"SAP.TO";"36.020000000000";"0.201278405534";"Core";"2021-12-01";"SAP.TO";"27.690001000000";"0.277258627502";"Core";"2022-12-01";"SAP.TO";"33.189999000000";"1.833918707224";"Value"
"2013-12-02";"FNV.TO";"40.320000000000";"0.090187590188";"Value";"2014-12-01";"FNV.TO";"59.150002000000";"0.090187590188";"Value";"2015-12-01";"FNV.TO";"65.059998000000";"0.090187590188";"Value";"2016-12-01";"FNV.TO";"77.050003000000";"0.078361919693";"Core";"2017-12-01";"FNV.TO";"102.339996000000";"0.060244564409";"Core";"2018-12-03";"FNV.TO";"91.589996000000";"0.073712991579";"Core";"2019-12-02";"FNV.TO";"131.479996000000";"0.058507574121";"Core";"2020-12-01";"FNV.TO";"170.289993000000";"0.383172448108";"Growth";"2021-12-01";"FNV.TO";"170.229996000000";"0.045099523311";"Core";"2022-12-01";"FNV.TO";"197.770004000000";"0.054604431924";"Core"
"2013-12-02";"SNC.TO";"47.470001000000";"0.013166209961";"Core";"2014-12-01";"SNC.TO";"41.020000000000";"0.018850861311";"Core";"2015-12-01";"SNC.TO";"42.450001000000";"0.021193802399";"Core";"2016-12-01";"SNC.TO";"57.669998000000";"0.558375710708";"Growth";"2017-12-01";"SNC.TO";"56.020000000000";"0.110057630858";"Core";"2018-12-03";"SNC.TO";"48.599998000000";"0.138917137483";"Core";"2019-12-02";"SNC.TO";"23.360001000000";"1.975832692307";"Value";"2020-12-01";"SNC.TO";"24.049999000000";"1.975832692307";"Value";"2021-12-01";"SNC.TO";"30.510000000000";"1.975832692307";"Value";"2022-12-01";"SNC.TO";"24.590000000000";"2.475305411095";"Value"
"2013-12-02";"FM.TO";"17.250000000000";"0.210803689065";"Value";"2014-12-01";"FM.TO";"18.250000000000";"0.210803689065";"Value";"2015-12-01";"FM.TO";"5.110000000000";"0.210803689065";"Value";"2016-12-01";"FM.TO";"14.730000000000";"2.384856590986";"Value";"2017-12-01";"FM.TO";"15.010000000000";"2.384856590986";"Value";"2018-12-03";"FM.TO";"13.590000000000";"2.384856590986";"Value";"2019-12-02";"FM.TO";"12.210000000000";"3.780135435555";"Value";"2020-12-01";"FM.TO";"19.200001000000";"3.780135435555";"Value";"2021-12-01";"FM.TO";"26.809999000000";"3.780135435555";"Value";"2022-12-01";"FM.TO";"32.189999000000";"0.335480554694";"Core"
