"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year6";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year7";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2015-05-02";"T.TO";"20.830000000000";"0.030004800768";"Core";"2016-05-02";"T.TO";"19.920000000000";"0.075350540912";"Core";"2017-05-01";"T.TO";"22.580000000000";"0.069846923824";"Core";"2018-05-01";"T.TO";"23.090000000000";"0.066381991838";"Core";"2019-05-01";"T.TO";"24.594999000000";"0.069165281295";"Core";"2020-05-01";"T.TO";"22.520000000000";"0.060363287085";"Core";"2021-05-03";"T.TO";"25.580000000000";"0.081276796727";"Core";"2022-05-02";"T.TO";"31.879999000000";"0.067750753610";"Core"
"2015-05-02";"CNR.TO";"79.839996000000";"0.007828156705";"Core";"2016-05-02";"CNR.TO";"77.139999000000";"0.019457905035";"Core";"2017-05-01";"CNR.TO";"100.010002000000";"0.015769858098";"Core";"2018-05-01";"CNR.TO";"97.970001000000";"0.015645199305";"Core";"2019-05-01";"CNR.TO";"123.779999000000";"0.013743092891";"Core";"2020-05-01";"CNR.TO";"113.220001000000";"0.012006546663";"Core";"2021-05-03";"CNR.TO";"134.059998000000";"0.015508432726";"Core";"2022-05-02";"CNR.TO";"151.289993000000";"0.014276515680";"Core"
"2015-05-02";"BCE.TO";"53.779999000000";"0.011621420819";"Core";"2016-05-02";"BCE.TO";"58.639999000000";"0.025596568905";"Core";"2017-05-01";"BCE.TO";"61.400002000000";"0.025686376036";"Core";"2018-05-01";"BCE.TO";"54.470001000000";"0.202604611281";"Value";"2019-05-01";"BCE.TO";"60.049999000000";"0.202604611281";"Value";"2020-05-01";"BCE.TO";"55.610001000000";"0.202604611281";"Value";"2021-05-03";"BCE.TO";"58.209999000000";"0.227287149537";"Value";"2022-05-02";"BCE.TO";"68.190002000000";"0.227287149537";"Value"
"2015-05-02";"SAP.TO";"35.810001000000";"0.017453224869";"Core";"2016-05-02";"SAP.TO";"39.860001000000";"0.037656365713";"Core";"2017-05-01";"SAP.TO";"44.110001000000";"0.035754783591";"Core";"2018-05-01";"SAP.TO";"41.340000000000";"0.037076927710";"Core";"2019-05-01";"SAP.TO";"45.630001000000";"0.037280736073";"Core";"2020-05-01";"SAP.TO";"34.689999000000";"0.039186545527";"Core";"2021-05-03";"SAP.TO";"39.259998000000";"0.336994024993";"Value";"2022-05-02";"SAP.TO";"26.969999000000";"0.336994024993";"Value"
"2015-05-02";"FNV.TO";"65.199997000000";"0.051124746729";"Growth";"2016-05-02";"FNV.TO";"86.180000000000";"0.107667702587";"Growth";"2017-05-01";"FNV.TO";"90.449997000000";"0.226676248750";"Growth";"2018-05-01";"FNV.TO";"91.910004000000";"0.016676750352";"Core";"2019-05-01";"FNV.TO";"95.070000000000";"0.017893342004";"Core";"2020-05-01";"FNV.TO";"194.520004000000";"0.114609560118";"Growth";"2021-05-03";"FNV.TO";"175.220001000000";"0.083058002163";"Growth";"2022-05-02";"FNV.TO";"193.779999000000";"0.011146113987";"Core"
"2015-05-02";"SNC.TO";"43.970001000000";"0.082701013274";"Value";"2016-05-02";"SNC.TO";"47.639999000000";"0.082701013274";"Value";"2017-05-01";"SNC.TO";"55.119999000000";"0.082701013274";"Value";"2018-05-01";"SNC.TO";"56.450001000000";"0.027152527270";"Core";"2019-05-01";"SNC.TO";"33.349998000000";"0.051008099739";"Core";"2020-05-01";"SNC.TO";"24.110001000000";"0.056382462413";"Core";"2021-05-03";"SNC.TO";"27.580000000000";"0.527680319869";"Growth";"2022-05-02";"SNC.TO";"28.160000000000";"0.076700779734";"Core"
"2015-05-02";"FM.TO";"18.830000000000";"0.193115434751";"Value";"2016-05-02";"FM.TO";"10.640000000000";"0.193115434751";"Value";"2017-05-01";"FM.TO";"13.090000000000";"0.193115434751";"Value";"2018-05-01";"FM.TO";"18.719999000000";"0.589523182084";"Growth";"2019-05-01";"FM.TO";"13.170000000000";"0.129166288860";"Core";"2020-05-01";"FM.TO";"8.260000000000";"0.164573998203";"Core";"2021-05-03";"FM.TO";"29.139999000000";"0.499431150357";"Growth";"2022-05-02";"FM.TO";"35.799999000000";"0.482657881040";"Growth"
"2015-05-02";"MFC.TO";"22.389999000000";"0.027914248679";"Core";"2016-05-02";"MFC.TO";"18.370001000000";"0.081708366536";"Core";"2017-05-01";"MFC.TO";"24.100000000000";"0.065441640662";"Core";"2018-05-01";"MFC.TO";"24.230000000000";"0.063258778025";"Core";"2019-05-01";"MFC.TO";"24.700001000000";"0.068871253256";"Core";"2020-05-01";"MFC.TO";"16.900000000000";"0.080436758885";"Core";"2021-05-03";"MFC.TO";"27.000000000000";"0.077002239270";"Core";"2022-05-02";"MFC.TO";"25.020000000000";"0.086326696935";"Core"
"2015-05-02";"CSU.TO";"482.730011000000";"0.006905171125";"Growth";"2016-05-02";"CSU.TO";"495.000000000000";"0.018745055776";"Growth";"2017-05-01";"CSU.TO";"649.570007000000";"0.002427980853";"Core";"2018-05-01";"CSU.TO";"942.989990000000";"0.011703065246";"Growth";"2019-05-01";"CSU.TO";"1207.030029000000";"0.011587936116";"Growth";"2020-05-01";"CSU.TO";"1350.750000000000";"0.016504795182";"Growth";"2021-05-03";"CSU.TO";"1828.390015000000";"0.007959693010";"Growth";"2022-05-02";"CSU.TO";"2035.180054000000";"0.001061279051";"Core"
"2015-05-02";"WN.TO";"101.000000000000";"0.006188118812";"Core";"2016-05-02";"WN.TO";"110.110001000000";"0.013631666164";"Core";"2017-05-01";"WN.TO";"122.690002000000";"0.012854703026";"Core";"2018-05-01";"WN.TO";"105.900002000000";"0.014473655926";"Core";"2019-05-01";"WN.TO";"99.379997000000";"0.017117328191";"Core";"2020-05-01";"WN.TO";"97.680000000000";"0.013916679209";"Core";"2021-05-03";"WN.TO";"108.379997000000";"0.019183064383";"Core";"2022-05-02";"WN.TO";"158.360001000000";"0.109113106526";"Growth"
