"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2018-08-02";"BCE.TO";"54.169998000000";"0.067128738612";"Value";"2019-08-01";"BCE.TO";"60.700001000000";"0.067128738612";"Value";"2020-08-04";"BCE.TO";"56.880001000000";"0.067128738612";"Value";"2021-08-03";"BCE.TO";"62.580002000000";"0.087999857184";"Value";"2022-08-02";"BCE.TO";"64.080002000000";"0.087999857184";"Value"
"2018-08-02";"SAP.TO";"42.970001000000";"0.084625635367";"Value";"2019-08-01";"SAP.TO";"40.029999000000";"0.084625635367";"Value";"2020-08-04";"SAP.TO";"32.930000000000";"0.084625635367";"Value";"2021-08-03";"SAP.TO";"36.020000000000";"0.152888152099";"Value";"2022-08-02";"SAP.TO";"31.170000000000";"0.152888152099";"Value"
"2018-08-02";"FNV.TO";"94.349998000000";"0.005888241307";"Core";"2019-08-01";"FNV.TO";"118.940002000000";"0.005208747453";"Core";"2020-08-04";"FNV.TO";"217.089996000000";"0.036873283498";"Growth";"2021-08-03";"FNV.TO";"202.100006000000";"0.024978287080";"Growth";"2022-08-02";"FNV.TO";"161.949997000000";"0.004598575190";"Core"
"2018-08-02";"SNC.TO";"56.560001000000";"0.009822410639";"Core";"2019-08-01";"SNC.TO";"18.920000000000";"0.032744631735";"Core";"2020-08-04";"SNC.TO";"22.059999000000";"0.025918991484";"Core";"2021-08-03";"SNC.TO";"33.259998000000";"0.025296213030";"Core";"2022-08-02";"SNC.TO";"23.160000000000";"0.032156271081";"Core"
"2018-08-02";"FM.TO";"18.660000000000";"0.178635226867";"Growth";"2019-08-01";"FM.TO";"10.740000000000";"0.057684211585";"Core";"2020-08-04";"FM.TO";"11.730000000000";"0.048744494989";"Core";"2021-08-03";"FM.TO";"26.309999000000";"0.191870473606";"Growth";"2022-08-02";"FM.TO";"21.469999000000";"0.034687437025";"Core"
"2018-08-02";"MFC.TO";"23.780001000000";"0.023362301606";"Core";"2019-08-01";"MFC.TO";"23.110001000000";"0.026807806387";"Core";"2020-08-04";"MFC.TO";"18.010000000000";"0.031747525054";"Core";"2021-08-03";"MFC.TO";"24.010000000000";"0.229364066580";"Value";"2022-08-02";"MFC.TO";"23.250000000000";"0.229364066580";"Value"
"2018-08-02";"CSU.TO";"948.090027000000";"0.003515840520";"Growth";"2019-08-01";"CSU.TO";"1266.530029000000";"0.003290673440";"Growth";"2020-08-04";"CSU.TO";"1599.099976000000";"0.005005828958";"Growth";"2021-08-03";"CSU.TO";"2000.000000000000";"0.002524055984";"Growth";"2022-08-02";"CSU.TO";"2105.100098000000";"0.000353778540";"Core"
"2018-08-02";"FSV.TO";"108.000000000000";"0.030864197531";"Growth";"2019-08-01";"FSV.TO";"140.779999000000";"0.029604608302";"Growth";"2020-08-04";"FSV.TO";"159.539993000000";"0.050174384595";"Growth";"2021-08-03";"FSV.TO";"234.009995000000";"0.021572206643";"Growth";"2022-08-02";"FSV.TO";"171.979996000000";"0.004330382926";"Core"
"2018-08-02";"WN.TO";"105.480003000000";"0.005266927756";"Core";"2019-08-01";"WN.TO";"106.379997000000";"0.005823730493";"Core";"2020-08-04";"WN.TO";"101.139999000000";"0.005653281905";"Core";"2021-08-03";"WN.TO";"133.199997000000";"0.006316456560";"Core";"2022-08-02";"WN.TO";"150.580002000000";"0.037588113530";"Growth"
"2018-08-02";"IFC.TO";"103.940002000000";"0.005344963872";"Core";"2019-08-01";"IFC.TO";"122.680000000000";"0.005049954617";"Core";"2020-08-04";"IFC.TO";"145.050003000000";"0.003941902202";"Core";"2021-08-03";"IFC.TO";"169.399994000000";"0.004966658941";"Core";"2022-08-02";"IFC.TO";"187.259995000000";"0.003977033313";"Core"
