"","10 Years 2012-01-02 to 2023-01-13","10 Years 2012-02-02 to 2023-01-13","10 Years 2012-03-02 to 2023-01-13","10 Years 2012-04-02 to 2023-01-13","10 Years 2012-05-02 to 2023-01-13","10 Years 2012-06-02 to 2023-01-13","10 Years 2012-07-02 to 2023-01-13","10 Years 2012-08-02 to 2023-01-13","10 Years 2012-09-02 to 2023-01-13","10 Years 2012-10-02 to 2023-01-13","10 Years 2012-11-02 to 2023-01-13","10 Years 2012-12-02 to 2023-01-13","10 Years 2013-01-02 to 2023-01-13","5 Years 2013-02-02 to 2023-01-13","5 Years 2013-03-02 to 2023-01-13","5 Years 2013-04-02 to 2023-01-13","5 Years 2013-05-02 to 2023-01-13","5 Years 2013-06-02 to 2023-01-13","5 Years 2013-07-02 to 2023-01-13","5 Years 2013-08-02 to 2023-01-13","5 Years 2013-09-02 to 2023-01-13","5 Years 2013-10-02 to 2023-01-13","5 Years 2013-11-02 to 2023-01-13","5 Years 2013-12-02 to 2023-01-13","5 Years 2014-01-02 to 2023-01-13","5 Years 2014-02-02 to 2023-01-13","5 Years 2014-03-02 to 2023-01-13","5 Years 2014-04-02 to 2023-01-13","5 Years 2014-05-02 to 2023-01-13","5 Years 2014-06-02 to 2023-01-13","5 Years 2014-07-02 to 2023-01-13","5 Years 2014-08-02 to 2023-01-13","5 Years 2014-09-02 to 2023-01-13","5 Years 2014-10-02 to 2023-01-13","5 Years 2014-11-02 to 2023-01-13","5 Years 2014-12-02 to 2023-01-13","5 Years 2015-01-02 to 2023-01-13","5 Years 2015-02-02 to 2023-01-13","5 Years 2015-03-02 to 2023-01-13","5 Years 2015-04-02 to 2023-01-13","5 Years 2015-05-02 to 2023-01-13","5 Years 2015-06-02 to 2023-01-13","5 Years 2015-07-02 to 2023-01-13","5 Years 2015-08-02 to 2023-01-13","5 Years 2015-09-02 to 2023-01-13","5 Years 2015-10-02 to 2023-01-13","5 Years 2015-11-02 to 2023-01-13","5 Years 2015-12-02 to 2023-01-13","5 Years 2016-01-02 to 2023-01-13","5 Years 2016-02-02 to 2023-01-13","5 Years 2016-03-02 to 2023-01-13","5 Years 2016-04-02 to 2023-01-13","5 Years 2016-05-02 to 2023-01-13","5 Years 2016-06-02 to 2023-01-13","5 Years 2016-07-02 to 2023-01-13","5 Years 2016-08-02 to 2023-01-13","5 Years 2016-09-02 to 2023-01-13","5 Years 2016-10-02 to 2023-01-13","5 Years 2016-11-02 to 2023-01-13","5 Years 2016-12-02 to 2023-01-13","5 Years 2017-01-02 to 2023-01-13","5 Years 2017-02-02 to 2023-01-13","5 Years 2017-03-02 to 2023-01-13","5 Years 2017-04-02 to 2023-01-13","5 Years 2017-05-02 to 2023-01-13","5 Years 2017-06-02 to 2023-01-13","5 Years 2017-07-02 to 2023-01-13","5 Years 2017-08-02 to 2023-01-13","5 Years 2017-09-02 to 2023-01-13","5 Years 2017-10-02 to 2023-01-13","5 Years 2017-11-02 to 2023-01-13","5 Years 2017-12-02 to 2023-01-13","5 Years 2018-01-02 to 2023-01-13","4 Years 2018-02-02 to 2023-01-13","4 Years 2018-03-02 to 2023-01-13","4 Years 2018-04-02 to 2023-01-13","4 Years 2018-05-02 to 2023-01-13","4 Years 2018-06-02 to 2023-01-13","4 Years 2018-07-02 to 2023-01-13","4 Years 2018-08-02 to 2023-01-13","4 Years 2018-09-02 to 2023-01-13","4 Years 2018-10-02 to 2023-01-13","4 Years 2018-11-02 to 2023-01-13","4 Years 2018-12-02 to 2023-01-13","4 Years 2019-01-02 to 2023-01-13","3 Years 2019-02-02 to 2023-01-13","3 Years 2019-03-02 to 2023-01-13","3 Years 2019-04-02 to 2023-01-13","3 Years 2019-05-02 to 2023-01-13","3 Years 2019-06-02 to 2023-01-13","3 Years 2019-07-02 to 2023-01-13","3 Years 2019-08-02 to 2023-01-13","3 Years 2019-09-02 to 2023-01-13","3 Years 2019-10-02 to 2023-01-13","3 Years 2019-11-02 to 2023-01-13","3 Years 2019-12-02 to 2023-01-13","3 Years 2020-01-02 to 2023-01-13","2 Years 2020-02-02 to 2023-01-13","2 Years 2020-03-02 to 2023-01-13","2 Years 2020-04-02 to 2023-01-13","2 Years 2020-05-02 to 2023-01-13","2 Years 2020-06-02 to 2023-01-13","2 Years 2020-07-02 to 2023-01-13","2 Years 2020-08-02 to 2023-01-13","2 Years 2020-09-02 to 2023-01-13","2 Years 2020-10-02 to 2023-01-13","2 Years 2020-11-02 to 2023-01-13","2 Years 2020-12-02 to 2023-01-13","2 Years 2021-01-02 to 2023-01-13","2023-01-2022-01 2021-02-02 to 2023-01-13","2023-01-2022-01 2021-03-02 to 2023-01-13","2023-01-2022-01 2021-04-02 to 2023-01-13","2023-01-2022-01 2021-05-02 to 2023-01-13","2023-01-2022-01 2021-06-02 to 2023-01-13","2023-01-2022-01 2021-07-02 to 2023-01-13","2023-01-2022-01 2021-08-02 to 2023-01-13","2023-01-2022-01 2021-09-02 to 2023-01-13","2023-01-2022-01 2021-10-02 to 2023-01-13","2023-01-2022-01 2021-11-02 to 2023-01-13","2023-01-2022-01 2021-12-02 to 2023-01-13","2022-01-2023-01 2022-01-02 to 2023-01-13"
"P Information Ratio",0.69,0.74,0.65,0.59,0.81,0.77,0.69,0.83,0.91,0.88,0.7,0.8,0.7,0.29,-0.04,-0.14,-0.02,0.11,0.16,0.26,0.73,0.56,0.3,0.4,0.33,0.56,0.47,0.67,0.67,0.6,0.63,0.51,0.79,0.92,0.7,0.54,0.35,0.64,0.35,0.28,0.27,0.47,0.43,0.61,0.81,0.61,0.57,0.7,0.45,0.55,0.38,0.3,0.32,0.51,0.68,0.96,1.27,1.03,0.69,0.82,0.8,0.97,1.02,1.13,1.15,1.04,1.19,1.24,1.2,1.48,1.24,1.03,0.85,0.99,0.6,0.49,0.49,0.27,0.2,0.5,0.5,0.37,0.44,0.6,0.45,0.01,0.04,-0.04,-0.2,0.12,0.17,0.5,0.63,0.64,0.29,0.58,0.58,0.65,0.52,0.93,0.86,0.64,0.7,1.37,0.58,0.85,0.84,0.9,0.4,0.9,1.13,1.1,1.05,0.44,0.37,1.15,0.99,0.35,0.35,0.97,0.42
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.79,0.79,0.79,0.76,0.63,0.72,0.66,0.83,0.97,0.92,0.76,0.85,1.02,0.39,-0.02,-0.07,0,0.06,0.08,0.13,0.44,0.27,0.12,0.19,0.17,0.31,0.25,0.49,0.42,0.34,0.36,0.31,0.52,0.62,0.46,0.37,0.25,0.36,0.26,0.25,0.26,0.39,0.35,0.5,0.82,0.58,0.45,0.49,0.3,0.45,0.25,0.16,0.23,0.28,0.3,0.43,0.7,0.43,0.29,0.37,0.35,0.53,0.5,0.73,0.66,0.55,0.6,0.62,0.68,0.89,0.72,0.59,0.47,0.53,0.39,0.33,0.34,0.22,0.16,0.38,0.44,0.35,0.33,0.4,0.17,-0.03,-0.01,-0.04,-0.22,0.04,0.05,0.24,0.34,0.26,0.11,0.26,0.29,0.33,0.14,0.62,0.51,0.31,0.34,0.71,0.24,0.56,0.55,0.45,0.19,0.88,0.88,0.99,0.81,0.39,0.23,0.77,0.84,0.35,0.34,0.57,0.31
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.96,1.03,0.99,1.03,0.9,0.93,0.92,0.96,0.92,0.87,0.97,1.01,1.1,1.24,0.98,1.03,1.02,1.1,1.09,1.15,1.13,1.06,1.13,1.12,1.07,1.25,1.19,1.27,1.23,1.17,1.14,1.15,1.06,1.06,1.07,0.98,0.95,1.01,0.97,1.01,0.94,0.97,0.94,0.98,0.91,0.86,0.99,1.01,1.06,1.18,0.99,1.02,1.03,1.12,1.11,1.15,1.15,1.09,1.15,1.15,1.09,1.26,1.19,1.23,1.22,1.2,1.16,1.16,1.08,1.08,1.08,0.99,0.96,0.99,0.95,0.98,0.94,0.93,0.91,0.94,0.94,0.86,0.95,1.02,1.01,1.03,0.94,0.97,0.98,1.07,1.06,1.16,1.19,1.12,1.14,1.15,1.07,1.12,1.12,1.13,1.16,1.14,1.15,1.06,1.05,1.02,1.06,1.02,1.03,1.11,1.07,1.06,1.1,1.08,1,1.07,1.08,0.99,1,1.03,1.04
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",41.15,46.01,39.85,39.63,58.74,50.35,48.93,46.92,42.63,41.57,43.95,45.3,34.58,57.65,71.83,81.06,72.34,79.88,83.61,85.34,82.88,86.32,87.99,86.59,85.58,86.87,85.81,82.88,85.87,86.76,86.39,85.93,81.49,79.86,82.42,80.98,80.76,81.37,73.41,71.19,69.03,68.92,69.78,69.45,57.77,60.17,69.94,74.96,80.34,73.98,76.38,84.03,75.4,83.46,88.08,89.29,84.83,89.86,89.94,89.19,88.91,88.27,88.26,84.67,87.27,88.4,88.43,89.17,84.76,82.01,84.03,82.46,82.88,81.08,75.51,75.04,72.87,70.63,71.35,71.14,68.66,66.7,71.56,76.58,89.25,91.93,79.16,85.73,76.38,84.08,90.18,92.58,91.56,93.33,92.16,91.58,90.18,82.45,84.74,75.62,78.13,80.86,80.09,80.42,83.3,73.62,73.72,82.05,82,77.54,84.45,81.69,89.94,90.59,91.99,91.75,89.7,90.09,86.09,90.44,90.83
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-31.0635,-32.7502,-32.5753,-34.9466,-32.1601,-31.9841,-32.2737,-32.9139,-30.9902,-29.9676,-33.0059,-34.9843,-38.7341,-36.6216,-30.7048,-34.5055,-33.1772,-36.9655,-37.8847,-40.5775,-39.0187,-37.2539,-38.4759,-37.5233,-33.742,-40.2936,-37.4162,-38.7472,-38.5353,-36.7084,-36.0646,-37.4096,-34.158,-35.4839,-34.3777,-33.1492,-31.1061,-32.7972,-32.6182,-34.9993,-32.2046,-31.8671,-32.1418,-32.6792,-31.0888,-30.0225,-32.8749,-34.1267,-34.4452,-35.7345,-31.0794,-33.6404,-32.6713,-36.5919,-37.5253,-39.9605,-39.1293,-37.1937,-38.3223,-37.0835,-33.6328,-40.0164,-37.8635,-37.0808,-36.8533,-36.6963,-35.5264,-36.6344,-34.488,-34.7453,-34.055,-32.6304,-30.5913,-32.3928,-32.6728,-33.9305,-31.8799,-31.8419,-32.1101,-32.4433,-31.1281,-30.2449,-32.2989,-34.1267,-34.4452,-35.4891,-31.6205,-33.556,-33.2159,-36.5919,-37.5253,-41.0403,-39.1293,-38.0085,-38.7426,-37.0835,-33.6328,-21.8236,-21.2716,-21.937,-21.8542,-21.8959,-23.231,-19.8768,-20.6822,-20.1781,-20.8315,-20.214,-20.3188,-19.3019,-18.2924,-18.2329,-18.5172,-19.8956,-20.1791,-17.5305,-18.8767,-20.0494,-20.7908,-19.0002,-20.5081
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766,-17.7766
"MD DIFF(P-B)",4.663,2.9763,3.1512,0.779900000000005,3.5664,3.7424,3.4528,2.8126,4.7363,5.7589,2.7206,0.742200000000004,-3.0076,-0.895099999999999,5.0217,1.221,2.5493,-1.239,-2.1582,-4.851,-3.2922,-1.5274,-2.7494,-1.7968,1.9845,-4.5671,-1.6897,-3.0207,-2.8088,-0.981899999999996,-0.338099999999997,-1.6831,1.5685,0.242600000000003,1.3488,2.5773,4.6204,2.9293,3.1083,0.727200000000003,3.5219,3.8594,3.5847,3.0473,4.6377,5.704,2.8516,1.5998,1.2813,-0.00799999999999557,4.6471,2.0861,3.0552,-0.865400000000001,-1.7988,-4.234,-3.4028,-1.4672,-2.5958,-1.357,2.0937,-4.2899,-2.137,-1.3543,-1.1268,-0.969799999999999,0.200099999999999,-0.907899999999998,1.2385,0.981200000000001,1.6715,3.0961,5.1352,3.3337,3.0537,1.796,3.8466,3.8846,3.6164,3.2832,4.5984,5.4816,3.4276,1.5998,1.2813,0.237400000000001,4.106,2.1705,2.5106,-0.865400000000001,-1.7988,-5.3138,-3.4028,-2.282,-3.0161,-1.357,2.0937,-4.047,-3.495,-4.1604,-4.0776,-4.1193,-5.4544,-2.1002,-2.9056,-2.4015,-3.0549,-2.4374,-2.5422,-1.5253,-0.515800000000002,-0.456300000000002,-0.740600000000001,-2.119,-2.4025,0.246099999999998,-1.1001,-2.2728,-3.0142,-1.2236,-2.7315
