"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year6";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2016-12-02";"K.TO";"4.610000000000";"0.723065798988";"Growth";"2017-12-01";"K.TO";"5.190000000000";"0.122392533570";"Core";"2018-12-03";"K.TO";"3.760000000000";"0.182517634820";"Core";"2019-12-02";"K.TO";"5.790000000000";"0.137808923876";"Core";"2020-12-01";"K.TO";"9.640000000000";"0.622554466130";"Growth";"2021-12-01";"K.TO";"7.460000000000";"0.128305613481";"Core";"2022-12-01";"K.TO";"5.910000000000";"1.111240566077";"Value"
"2016-12-02";"TRI.TO";"63.366009000000";"0.009564443392";"Core";"2017-12-01";"TRI.TO";"62.275581000000";"0.010200101533";"Core";"2018-12-03";"TRI.TO";"65.830002000000";"0.010424825856";"Core";"2019-12-02";"TRI.TO";"93.169998000000";"0.051384373921";"Growth";"2020-12-01";"TRI.TO";"103.099998000000";"0.058209749466";"Growth";"2021-12-01";"TRI.TO";"152.389999000000";"0.054435236245";"Growth";"2022-12-01";"TRI.TO";"157.550003000000";"0.007356131522";"Core"
"2016-12-02";"BNS.TO";"74.370003000000";"0.008149261552";"Core";"2017-12-01";"BNS.TO";"81.839996000000";"0.007761696973";"Core";"2018-12-03";"BNS.TO";"72.570000000000";"0.009456611643";"Core";"2019-12-02";"BNS.TO";"74.680000000000";"0.069934489197";"Value";"2020-12-01";"BNS.TO";"65.000000000000";"0.069934489197";"Value";"2021-12-01";"BNS.TO";"82.510002000000";"0.069934489197";"Value";"2022-12-01";"BNS.TO";"70.160004000000";"0.016518792435";"Core"
"2016-12-02";"RY.TO";"87.730003000000";"0.006908247867";"Core";"2017-12-01";"RY.TO";"101.160004000000";"0.042242778842";"Growth";"2018-12-03";"RY.TO";"97.449997000000";"0.007042240411";"Core";"2019-12-02";"RY.TO";"108.059998000000";"0.007383987452";"Core";"2020-12-01";"RY.TO";"107.040001000000";"0.008334302278";"Core";"2021-12-01";"RY.TO";"125.739998000000";"0.007612214823";"Core";"2022-12-01";"RY.TO";"134.669998000000";"0.008605914907";"Core"
"2016-12-02";"CAE.TO";"19.520000000000";"0.170765027322";"Growth";"2017-12-01";"CAE.TO";"22.690001000000";"0.188333163874";"Growth";"2018-12-03";"CAE.TO";"26.799999000000";"0.194612840569";"Growth";"2019-12-02";"CAE.TO";"35.419998000000";"0.135163249175";"Growth";"2020-12-01";"CAE.TO";"31.639999000000";"0.028195440972";"Core";"2021-12-01";"CAE.TO";"30.200001000000";"0.031694034599";"Core";"2022-12-01";"CAE.TO";"29.090000000000";"0.225762521331";"Value"
"2016-12-02";"T.TO";"21.045000000000";"0.028798318178";"Core";"2017-12-01";"T.TO";"23.850000000000";"0.026633846928";"Core";"2018-12-03";"T.TO";"23.815001000000";"0.028816555873";"Core";"2019-12-02";"T.TO";"25.000000000000";"0.031916546770";"Core";"2020-12-01";"T.TO";"24.969999000000";"0.035727022823";"Core";"2021-12-01";"T.TO";"29.290001000000";"0.032678724612";"Core";"2022-12-01";"T.TO";"28.610001000000";"0.040508860637";"Core"
"2016-12-02";"CNR.TO";"89.599998000000";"0.006764069415";"Core";"2017-12-01";"CNR.TO";"99.870003000000";"0.006360440875";"Core";"2018-12-03";"CNR.TO";"112.730003000000";"0.006087698826";"Core";"2019-12-02";"CNR.TO";"119.750000000000";"0.006663162165";"Core";"2020-12-01";"CNR.TO";"137.820007000000";"0.006472962406";"Core";"2021-12-01";"CNR.TO";"161.899994000000";"0.005912043929";"Core";"2022-12-01";"CNR.TO";"172.669998000000";"0.006711985619";"Core"
"2016-12-02";"BCE.TO";"57.369999000000";"0.010564068618";"Core";"2017-12-01";"BCE.TO";"61.439999000000";"0.010338822584";"Core";"2018-12-03";"BCE.TO";"56.759998000000";"0.012090668272";"Core";"2019-12-02";"BCE.TO";"63.580002000000";"0.012549758480";"Core";"2020-12-01";"BCE.TO";"56.090000000000";"0.015904862260";"Core";"2021-12-01";"BCE.TO";"64.430000000000";"0.014855810594";"Core";"2022-12-01";"BCE.TO";"63.860001000000";"0.018148426639";"Core"
"2016-12-02";"SAP.TO";"46.369999000000";"0.013070101771";"Core";"2017-12-01";"SAP.TO";"43.599998000000";"0.014569203632";"Core";"2018-12-03";"SAP.TO";"40.549999000000";"0.016923953732";"Core";"2019-12-02";"SAP.TO";"40.099998000000";"0.019898097482";"Core";"2020-12-01";"SAP.TO";"36.020000000000";"0.024766899616";"Core";"2021-12-01";"SAP.TO";"27.690001000000";"0.034566985988";"Core";"2022-12-01";"SAP.TO";"33.189999000000";"0.197873815709";"Value"
"2016-12-02";"FNV.TO";"77.500000000000";"0.007820136852";"Core";"2017-12-01";"FNV.TO";"102.339996000000";"0.006206930565";"Core";"2018-12-03";"FNV.TO";"91.589996000000";"0.007492808570";"Core";"2019-12-02";"FNV.TO";"131.479996000000";"0.006068707739";"Core";"2020-12-01";"FNV.TO";"170.289993000000";"0.035242382408";"Growth";"2021-12-01";"FNV.TO";"170.229996000000";"0.005622745104";"Core";"2022-12-01";"FNV.TO";"197.770004000000";"0.005860133083";"Core"
