"","2020-09-02_to_2023-01-13_Index_7QRank","2020-09-02_to_2023-01-13_TSX60_Index"
"2021-07-16",-4.66518671205465,-1.33259738730388
"2021-07-19",-6.13597194309285,-2.55032107728815
"2021-07-20",-5.06632070807611,-1.58779643153893
"2021-07-21",-4.01624952315671,-0.884566119685082
"2021-07-22",-4.04924675764111,-0.87964848270341
"2021-07-23",-3.64423672353812,-0.374176254688208
"2021-07-26",-3.45963960103438,-0.628552951601902
"2021-07-27",-4.04065503250908,-0.548957954368279
"2021-07-28",-3.12554713784134,-0.400433804658962
"2021-07-29",-2.52814898275775,-0.0147693578914754
"2021-07-30",-2.63927746259319,-0.177240518170918
"2021-08-03",-2.73983336195854,0
"2021-08-04",-3.74570570928079,0
"2021-08-05",-3.2359363216763,0
"2021-08-06",-2.54219197512974,0
"2021-08-09",-2.94735793667531,0
"2021-08-10",-2.17091308805374,0
"2021-08-11",-2.08453805105513,0
"2021-08-12",-2.38534851630896,0
"2021-08-13",-2.603467470578,0
"2021-08-16",-3.14258415333172,0
"2021-08-17",-3.84466884211153,0
"2021-08-18",-4.35367476665486,0
"2021-08-19",-5.09885806082599,0
"2021-08-20",-4.41220921318007,0
"2021-08-23",-3.30297750439699,0
"2021-08-24",-2.9210859106292,0
"2021-08-25",-2.76427641894038,0
"2021-08-26",-3.3668377064588,0
"2021-08-27",-2.19572723546485,0
"2021-08-30",-2.58716771974641,0
"2021-08-31",-2.6648953226476,0
"2021-09-01",-2.11799785584877,0
"2021-09-02",-0.572521003339166,0
"2021-09-03",-0.524403863274647,0
"2021-09-07",-0.381093283338363,0
"2021-09-08",-1.12747372650357,-0.26727321954193
"2021-09-09",-1.24956697729158,-0.504849414690312
"2021-09-10",-1.13748683863657,-0.9198033947592
"2021-09-13",-0.582983319940766,-0.754458856992746
"2021-09-14",-0.862843753857601,-1.40137458935338
"2021-09-15",0,-0.711119862563581
"2021-09-16",-1.16488866755434,-1.13650641051938
"2021-09-17",-2.53421438915304,-1.72402809409291
"2021-09-20",-4.46588865078398,-3.26666463967583
"2021-09-21",-3.97347968652135,-2.79151224937908
"2021-09-22",-2.29288858879755,-2.05470912601143
"2021-09-23",-1.97266216701832,-1.69754047184808
"2021-09-24",-2.39707382497701,-1.94153547129386
"2021-09-27",-1.69996190090972,-1.60122623292923
"2021-09-28",-2.70260763855603,-2.96326754782854
"2021-09-29",-2.53435468881117,-2.91511042836913
"2021-09-30",-2.91919778199583,-3.4175548023515
"2021-10-01",-2.54543988851872,-3.00821526513925
"2021-10-04",-2.90820781676666,-3.37742521007106
"2021-10-05",-2.24322857880564,-2.77144343143165
"2021-10-06",-3.0952913269679,-2.63499960023237
"2021-10-07",-1.35524934431259,-1.64536958879916
"2021-10-08",-1.15062521774318,-1.53781842055266
"2021-10-12",-0.270976449957216,-1.57393424924361
"2021-10-13",0,-0.808238462923194
"2021-10-14",0,0
"2021-10-15",0,0
"2021-10-18",0,0
"2021-10-19",0,0
"2021-10-20",0,0
"2021-10-21",0,0
"2021-10-22",0,0
"2021-10-25",0,0
"2021-10-26",-0.591797200770072,0
"2021-10-27",-2.39686343956844,0
"2021-10-28",-0.722138279145157,0
"2021-10-29",-1.77363351947238,0
"2021-11-01",-0.608160999188256,0
"2021-11-02",-1.54395001189995,0
"2021-11-03",-1.10092713994562,0
"2021-11-04",-0.296694946431308,0
"2021-11-05",0,0
"2021-11-08",0,0
