"Date","BTC.USD","SOL.USD","BCH.USD","MATIC.USD","ALGO.USD","LINK.USD","ETH.USD","LTC.USD","ADA.USD","AVAX.USD"
"2022-02-27",-18.3566831001119,547.814276736725,-37.1355985242574,635.574309102783,-27.4439573722862,-47.9542024199795,79.5787660190147,-40.0898727463518,-35.2131545974669,190.500568828214
"2022-02-28",-4.30800009881861,660.321414975208,-26.6989807170459,604.047245539596,-14.7298923344317,-38.7092246155174,106.151148376615,-31.1971587216345,-26.6219642997755,254.021146344665
"2022-03-01",-10.6316208025029,559.64345233367,-34.4783957429322,544.488257834735,-21.3445994241395,-44.4536743697563,89.9706390645978,-35.7764250769953,-25.5373773201237,216.510920467445
"2022-03-02",-9.2082766740072,621.041655010441,-38.027780322303,605.172213046534,-24.1036522003052,-46.3545619976554,97.6484713996705,-37.9603951791586,-23.4109182412927,206.951104060316
"2022-03-03",-16.0006616275231,576.834572495052,-39.8129970434968,607.532542925402,-32.5198960532727,-50.3264685181354,79.8688536300916,-40.93529971105,-25.8043569213369,188.051566880969
"2022-03-04",-19.4055515839646,573.737162431804,-42.8027728272744,636.019361760523,-30.4663028577021,-50.5212845360678,69.7342059878818,-44.0067598473954,-24.3956235177617,193.174683249593
"2022-03-05",-19.4711701589737,610.901607501021,-41.084997353463,600.961560805127,-26.8630746023765,-49.6965820848437,73.7999389077637,-41.9263498184196,-25.917418827015,214.739745018204
"2022-03-06",-21.451415438324,548.505775111614,-43.5204276584304,574.550439935019,-29.0893842134125,-52.6430472260994,54.407031860057,-44.4787072741286,-27.1668205111882,191.006836646428
"2022-03-07",-25.6697942829007,491.811875312191,-46.7359179134029,567.330842477726,-33.6045246269421,-55.4692917370797,44.9534700242188,-48.1706202559375,-29.6451193655718,169.719038021319
"2022-03-08",-25.8567518335094,504.71713080278,-46.2436101254411,567.191697980814,-35.8581083659754,-58.7436273903596,40.4430352848424,-47.5752323574323,-28.3352399215422,185.439568827794
"2022-03-09",-23.4225229071462,494.100884724832,-43.4249179976278,403.984199664862,-34.8834254602251,-55.5040418102627,46.1301977808901,-47.4841802872386,-28.9390299716942,126.916791788208
"2022-03-10",-29.5867141926148,482.802314988795,-46.9920709838863,400.548475953312,-34.1249284906689,-55.9359864367098,44.9587312736734,-48.8045496582953,-28.9591305045009,149.054241953166
"2022-03-11",-32.8866164073709,404.899864490858,-47.5798288439161,242.544294394856,-35.0072998632372,-56.5149681262027,40.1582560288172,-47.8433889422177,-29.7535539967461,131.818460944585
"2022-03-12",-32.1426938650634,460.424836426143,-45.9954205184065,237.70704233509,-32.8924394428313,-53.670226993826,45.2937553326524,-52.0750436104735,-23.9110267681861,153.676079603949
"2022-03-13",-38.197653688912,415.625375805019,-52.969496235478,220.575630271867,-40.1150888744789,-57.2169605751338,30.8756510171006,-54.9317820132046,-28.307354026143,120.245918643205
"2022-03-14",-33.1109536524164,459.497185949031,-48.0873505003289,259.876567393002,-37.4634418209644,-53.4500220132913,39.6929727211496,-50.9170605168936,-24.0981953521395,137.077620184117
"2022-03-15",-29.6355644612031,484.739990281012,-44.7077094349571,251.231553419059,-40.0932474943914,-50.1149544361689,46.2380050753421,-46.8418383404082,-22.595470514417,140.842251619241
"2022-03-16",-27.5697554432187,545.269689218194,-43.252139405086,293.427772210641,-38.5921950016825,-47.3575977779321,53.4089054921511,-44.6086147937635,-32.5498228814766,124.254482187844
"2022-03-17",-30.4386671338313,517.971810950941,-45.1860597828378,259.34994631242,-42.6213533007835,-53.4929938187203,54.369766612562,-46.4689954766955,-39.3051144107413,143.640666733893
"2022-03-18",-27.753309437206,531.214892454511,-42.26340195333,283.778990310544,-40.0083179187775,-49.0639662438791,65.2037236814079,-44.0922643680846,-31.1195426010851,157.533959245182
"2022-03-19",-27.6896777294908,550.612314319755,-38.7787623953142,271.086470301105,-39.0003096054286,-49.9323935679305,62.0938567791231,-42.1212004725606,-30.8002027385057,137.506094601885
"2022-03-20",-29.2655697465928,523.522230996509,-39.3543755111277,281.611511541519,-38.4989600855133,-50.9647865820065,57.8067173364695,-42.8160035933511,-27.305246982904,146.675376730039
"2022-03-21",-28.5890950937105,519.285000508645,-36.3356692040917,284.833574757526,-30.1752200722475,-48.7313034448077,62.0595541008492,-40.8643992511241,-22.9037792017761,163.47199637983
"2022-03-22",-22.3189562969966,506.684043272024,-26.6105546232427,331.674628526205,-25.6136900788424,-43.606112581549,75.7861624094227,-34.2904716638398,-12.0224457911439,186.037499218332
"2022-03-23",-21.6408778325268,569.509436613501,-29.4327862088844,369.198417818833,-24.7619090398652,-41.2958277853237,80.5657448172051,-34.6428169696626,-1.25451160534688,201.669058422379
"2022-03-24",-16.7000562236625,648.272191998154,-23.7474464945904,401.190846177753,-13.72881995547,-35.4526413767765,95.0568452964209,-28.7488055568031,5.11710675887115,236.08318182052
"2022-03-25",-14.2259919991108,657.446911095014,-23.7411422506015,423.295599484514,-14.861080682365,-39.3495488278131,94.7317747496714,-28.3101142238779,-0.334612109581388,221.802146384424
"2022-03-26",-19.2909010119055,588.553245759763,-28.9032233764593,378.261243928219,-18.3766800738588,-42.2590905111376,84.5842937465977,-32.2323460863249,-5.22047927088749,204.398069984573
"2022-03-27",-16.3524125070985,548.668114179018,-25.2395753416257,407.875685272489,-18.2154428320971,-37.3146820241698,91.7616042246294,-29.9912540382146,0.473492172632985,225.079610714454
"2022-03-28",-15.7687659306229,490.940714410165,-26.5196335385222,379.866766856449,-26.5656648147594,-38.1314900796887,97.275712849841,-30.8546400703442,-1.75800336488898,212.23978392711
"2022-03-29",-17.8085424623373,492.476497640469,-28.2550362753289,336.203789074505,-34.0920640539931,-39.4952754414498,86.9547702366896,-33.1217981034116,-0.950404185803239,215.039870961122
"2022-03-30",-20.1213371741051,527.53434881336,-28.0577825006285,353.732762335704,-30.1008600439637,-38.3252767367202,83.3746575430188,-33.3089572798842,-1.89002544265019,223.304939899802
"2022-03-31",-22.7094729966135,530.156783667945,-29.3045690442625,349.328488000578,-32.2740371312194,-42.3838538179969,71.0648312284362,-37.3586963181098,-4.30860228750722,237.376035409554
"2022-04-01",-21.6837105166559,604.383700791338,-32.8971011098663,365.077342939196,-29.1775412126756,-42.7372652577947,74.4597493910381,-38.8165016905039,-2.00286904958108,240.244312637104
"2022-04-02",-22.7591475122323,567.326501069675,-36.2662329288626,330.733433680033,-33.476459482689,-46.5065170711969,60.7417972472824,-41.4132974241695,-3.38501423725188,229.605567572147
"2022-04-03",-19.3568942965821,506.481243556914,-29.4218570382857,377.023198533462,-26.4235195703664,-38.7361266196057,73.6735577549073,-34.5942762279925,1.07937000384394,247.155279895319
"2022-04-04",-20.6538077245771,450.313164409122,-33.6612438072964,354.977842856631,-32.7858018513505,-43.5524069442662,68.2290788649919,-38.8061544388497,1.80666767386816,225.677313162843
"2022-04-05",-22.8621260500913,451.95211440792,-43.5697156209094,330.480794956126,-40.5621735345844,-48.2238691548906,61.8583987164926,-44.2648461060442,-3.58222844437124,191.299262610807
"2022-04-06",-25.7518706148869,352.308869772209,-50.4202728417268,289.449923377989,-45.2084091801406,-55.6645637989765,49.7225961803455,-52.6807142941115,-16.1375197752985,162.897282938611
"2022-04-07",-22.3823865421178,348.659840567751,-45.5583820675237,348.997058195535,-38.525619885418,-49.3978928881382,64.0359160734292,-47.9408074450453,-7.08463352306815,198.270402490987
"2022-04-08",-27.4952025759142,306.15866242741,-50.0678152956311,302.940730720224,-43.8584449670862,-53.7789640524173,52.8351108294367,-51.1539253920326,-15.8360094338694,172.295973928517
