"Date","UNTR.JK","INDF.JK","INKP.JK","BRPT.JK","ADRO.JK","INCO.JK","SMGR.JK","BNLI.JK","CPIN.JK","MDKA.JK","BMRI.JK","MYOR.JK","TBIG.JK","GGRM.JK","TPIA.JK","ICBP.JK","BYAN.JK","BBNI.JK","AMRT.JK","ASII.JK","EMTK.JK","HMSP.JK","TOWR.JK","MEGA.JK","BBRI.JK","DNET.JK","TLKM.JK","BBCA.JK","UNVR.JK","ISAT.JK"
"2016-12-27",-6.30841121495327,3.03030303030303,3.24324324324324,410.714302493824,76.3157894736842,-18.5410334346505,-32.5278810408922,-62.3697530967834,-14.9560117302053,NA,-9.6234309623431,40.9921671018277,-46.0490463215259,26.4321608040201,583.333318166022,12.7659574468085,-24.2902208201893,-26.056338028169,-1.76991150442478,-7.01219512195122,-26.271186440678,48.8423474057434,-9.36708860759494,10.6382978723404,-15.8699808795411,20.4301075268817,32.7402135231317,2.42214532871972,-2.30179028132992,46.5416178194607
"2016-12-28",-2.92056074766355,2.69360269360269,2.7027027027027,410.714302493824,77.8947368421053,-15.8054711246201,-30.6691449814126,-61.6855657352459,-13.4897360703812,NA,-6.69456066945607,40.9921671018277,-45.5040871934605,28.3417085427136,585.833353311172,18.0851063829787,-24.2902208201893,-24.2957746478873,0.884955752212389,-4.57317073170732,-27.9661016949153,53.9343224485715,-8.86075949367089,8.51063829787234,-13.0019120458891,20.4301075268817,36.2989323843416,1.90311418685121,0.51150895140665,47.7139507620164
"2016-12-29",-2.10280373831776,5.72390572390572,3.24324324324324,435.714274698711,77.8947368421053,-13.677811550152,-30.1115241635688,-62.3697530967834,-8.79765395894428,NA,-3.13807531380753,42.7328111401218,-45.5040871934605,28.643216080402,586.666683871378,22.3404255319149,-24.2902208201893,-22.887323943662,2.65486725663717,-0.914634146341463,-19.4915254237288,53.5426320606616,-8.86075949367089,8.51063829787234,-10.8986615678776,20.4301075268817,40.2135231316726,6.22837370242214,2.30179028132992,51.2309495896835
"2016-12-30",-1.39211136890951,6.02006688963211,3.80434782608696,423.214288596268,76.5625,-14.2857142857143,-32.2878228782288,-61.790332280264,-11.4613180515759,NA,-4.33884297520661,42.1780466724287,-46.4516129032258,29.0909090909091,588.333346350056,20.7746478873239,-23.8095238095238,-21.0714285714286,10.6194690265487,-1.19402985074627,-15.4661016949153,48.3749032239221,-10.9452736318408,15.9090909090909,-10.3646833013436,18.2795698924731,38.9179755671902,6.89655172413793,-2.1437578814628,51.2309495896835
"2017-01-02",-3.29920364050057,7.45762711864407,-2.05128205128205,414.035082464888,72.9591836734694,-10.9004739336493,-32.5367647058824,-61.9093655301113,-8.30860534124629,NA,-5.70264765784114,42.3010380622837,-47.8534031413613,22.8846153846154,588.333346350056,19.7207678883072,-23.8095238095238,-23.2638888888889,10.6194690265487,2.47678018575851,-15.4661016949153,36.4252379768546,-10.5,14.6067415730337,-10.1923076923077,18.2795698924731,40.8849557522124,4.72972972972973,-0.640204865556978,55.0480769230769
"2017-01-03",-4.43686006825939,4.74576271186441,-1.02564102564103,426.315770372357,77.5510204081633,-12.1642969984202,-33.0882352941176,-61.9093655301113,-6.82492581602374,NA,-7.94297352342159,51.3840830449827,-47.6439790575916,21.7307692307692,588.333346350056,20.0698080279232,-23.8095238095238,-23.9583333333333,9.73451327433628,1.54798761609907,-15.4661016949153,35.3566329796469,-10.5,14.6067415730337,-8.46153846153846,23.6559139784946,39.8230088495575,6.58783783783784,-0.57618437900128,51.4423076923077
"2017-01-04",-2.61660978384528,5.76271186440678,-2.05128205128205,436.842106004957,73.469387755102,-14.0600315955766,-30.5147058823529,-62.5956843872868,-5.04451038575668,NA,-7.53564154786151,53.9792387543253,-47.6439790575916,21.5384615384615,591.666670628278,20.0698080279232,-23.8095238095238,-22.2222222222222,2.65486725663717,-0.928792569659443,-17.7966101694915,39.6310529684778,-12.5,14.6067415730337,-6.15384615384615,23.6559139784946,39.8230088495575,6.08108108108108,2.9449423815621,46.6346153846154
"2017-01-05",0,8.47457627118644,-0.512820512820513,445.614032985955,69.8979591836735,-10.2685624012638,-30.1470588235294,-63.2819988414803,-3.26409495548961,NA,-8.35030549898167,51.3840830449827,-47.6439790575916,26.1538461538462,594.9999949065,19.7207678883072,-23.8095238095238,-21.875,2.65486725663717,0.619195046439629,-17.7966101694915,41.7682629628933,-12,14.6067415730337,-6.92307692307692,18.2795698924731,39.8230088495575,5.91216216216216,3.84122919334187,44.2307692307692
"2017-01-06",-1.47559591373439,8.8135593220339,0,476.512462574396,72.9591836734694,-8.72274143302181,-31.0091743119266,-63.1672550713483,-5.98540145985401,NA,-6.57084188911704,52.0797227036395,-46.7362924281984,23.953823953824,598.333360611856,19.022687609075,-25.0793650793651,-21.9512195121951,4.42477876106195,-0.304878048780488,-17.7966101694915,42.5763611187762,-12,14.6067415730337,-7.10172744721689,22.5806451612903,41.0934744268078,2.8006589785832,3.30788804071247,46.4155528554071
"2017-01-09",-4.88599348534202,6.10169491525424,2.03045685279188,484.53242276239,75.5102040816327,-10.377358490566,-32.6568265682657,-63.9619624178512,-12.5340599455041,NA,-6.04166666666667,61.3636363636364,-44.2105263157895,16.3769441903019,600.833354329872,21.5889464594128,-25.0793650793651,-22.6480836236934,3.6036036036036,0,-16.8141592920354,40.8449020802231,-9.90990990990991,10.8695652173913,-10.1338432122371,18.2795698924731,41.5492957746479,1.82421227197347,2.03303684879288,47.9902557856273
